S11, S12, S21, S22 (Re + jIm format)
780.000000000000000000 MHz,-0.72861317580016460305 + j0.38345073674398327812 ,-0.00944467405416149833 - j0.00454289828934376951 ,4.51722769843268689982 - j2.58449450438000116748 ,-0.73552556303245220093 + j0.42831583285218899348 
790.000000000000000000 MHz,-0.72298774430590240225 + j0.41324567432307546255 ,-0.00925297838276064634 - j0.00401514002846485758 ,4.20064313322803162265 - j2.67390402770523660791 ,-0.72884135737291355639 + j0.45612278804514944097 
800.000000000000000000 MHz,-0.71599126886498853928 + j0.44084982714099846257 ,-0.00906935101540275873 - j0.00355568295105369208 ,3.91664444608553807825 - j2.74207859975686396581 ,-0.72106404537547863498 + j0.48187798075421384159 
810.000000000000000000 MHz,-0.70792004777679862215 + j0.46647323603282880855 ,-0.00889623066641989646 - j0.00315280217430810800 ,3.66097950003364625005 - j2.79430088573611667968 ,-0.71244182253902677004 + j0.50578859990031899141 
820.000000000000000000 MHz,-0.69900312676121001410 + j0.49030863545600195108 ,-0.00873481058026589693 - j0.00279698699023561920 ,3.42991689944498467923 - j2.83450307207282969912 ,-0.70316523454042512142 + j0.52804174787069058095 
830.000000000000000000 MHz,-0.68941837048593646031 + j0.51252975396815148024 ,-0.00858549410476558590 - j0.00248050424226848839 ,3.22022013794996997404 - j2.86562677901557805171 ,-0.69338122330485707501 + j0.54880415983706809513 
840.000000000000000000 MHz,-0.67930459840771517666 + j0.53329151255305684565 ,-0.00844819259681074859 - j0.00219704366793467597 ,3.02910009922024681117 - j2.88988340758581108147 ,-0.68320365742432187517 + j0.56822326515986698592 
850.000000000000000000 MHz,-0.66877073447577295440 + j0.55273118528574460839 ,-0.00832251998649527827 - j0.00194143402276234227 ,2.85416093675724047429 - j2.90894302929874859487 ,-0.67272122168428460931 + j0.58642886033282748404 
860.000000000000000000 MHz,-0.65790271290896185086 + j0.57096998516554664516 ,-0.00820791948722143262 - j0.00170941756421481286 ,2.69334687470642242246 - j2.92407204716412083556 ,-0.66200333801609945183 + j0.60353498676699468550 
870.000000000000000000 MHz,-0.64676870470615943631 + j0.58811477466364625588 ,-0.00810374565622098801 - j0.00149747145954674333 ,2.54489338901973027873 - j2.93623406219852256527 ,-0.65110462319482365068 + j0.61964179589333412412 
880.000000000000000000 MHz,-0.63542308828818350186 + j0.60425973980928671114 ,-0.00800931701910099700 - j0.00130266640266202879 ,2.40728405283382462798 - j2.94616421506678749509 ,-0.64006825865984406931 + j0.63483729307605540892 
890.000000000000000000 MHz,-0.62390947945903862948 + j0.61948794759332947990 ,-0.00792394926824174090 - j0.00112255452237964562 ,2.27921321400793530643 - j2.95442431346481892973 ,-0.62892854978462175985 + j0.64919891352560166187 
900.000000000000000000 MHz,-0.61226305467194874765 + j0.63387275270540666128 ,-0.00784697564607837218 - j0.00095508027597806578 ,2.15955413834925069594 - j2.96144396378959617877 ,-0.61771287916140571461 + j0.66279491736703788352 
910.000000000000000000 MHz,-0.60051234131544162231 + j0.64747904532139222145 ,-0.00777775889526663260 - j0.00079850936963757021 ,2.04733203077705416817 - j2.96755144778162138763 ,-0.60644320492526870847 + j0.67568560890070128444 
920.000000000000000000 MHz,-0.58868060423639467782 + j0.66036434529938414784 ,-0.00771569768921477866 - j0.00065137183396184076 ,1.94170128905695027477 - j2.97299703905541923277 ,-0.59513721590203505496 + j0.68792439372905067607 
930.000000000000000000 MHz,-0.57678692491646588181 + j0.67257975478897658039 ,-0.00766022948427629025 - j0.00051241624055560649 ,1.84192636802603471047 - j2.97797071189162920746 ,-0.58380922661004530649 + j0.69955869087955058205 
940.000000000000000000 MHz,-0.56484704553136511063 + j0.68417078391177910124 ,-0.00761083108843619779 - j0.00038057271499108725 ,1.74736569157443955014 - j2.98261566507590991648 ,-0.57247087405398255910 + j0.71063071767127161671 
950.000000000000000000 MHz,-0.55287403223492992410 + j0.69517806463291786923 ,-0.00756701780954561771 - j0.00025492292030327156 ,1.65745812108018641950 - j2.98703870389481007663 ,-0.56113166272981285232 + j0.72117816423283698235 
960.000000000000000000 MHz,-0.54087879875567324017 + j0.70563796723560179291 ,-0.00752834175683871586 - j0.00013467558622990870 ,1.57171156050720628450 - j2.99131824969095339029 ,-0.54979939280127898549 + j0.73123477305926398717 
970.000000000000000000 MHz,-0.52887052151406721556 + j0.71558313257059236179 ,-0.00749438967494572492 - j0.00001914646909368434 ,1.48969334418301380119 - j2.99551054789811965762 ,-0.53848049790944663151 + j0.74083083723724663106 
980.000000000000000000 MHz,-0.51685697009286857284 + j0.72504293179598233721 ,-0.00746478055872355339 + j0.00009225813328436667 ,1.41102211129675692014 - j2.99965450071024841705 ,-0.52718031274827814592 + j0.74999362920201695371 
990.000000000000000000 MHz,-0.50484477134117944352 + j0.73404386386652376029 ,-0.00743916320898319570 + j0.00020005500185180271 ,1.33536092087490909641 - j3.00377544430332843461 ,-0.51590328579865296632 + j0.75874777024096695666 
1.00000000000000000000 GHz,-0.49283962121220725727 + j0.74260989964981261036 ,-0.00741721382987173272 + j0.00030469529793190035 ,1.26241140298158072142 - j3.00788811212730600175 ,-0.50465314904852764943 + j0.76711554947522775372 
